id,date,scanner,min,max,err,pixels,minf,maxf,errf,created_at,updated_at
12,2017-12-17,K219,35435,35933,1.4,6,35681,35688,0.02,,2017-12-29 16:26:16.475205
30,2017-12-18,H161,35155,36382,3.43,14,35731,35761,0.08,,2017-12-29 16:26:16.872783
47,2017-12-18,K211,35305,36042,2.07,43,35692,35739,0.13,,2017-12-19 18:10:57.453846
48,2017-12-18,K212,35216,36225,2.82,61,35686,35726,0.11,,2017-12-19 18:10:57.45983
49,2017-12-18,K220,35196,36259,2.98,11,35709,35724,0.04,,2017-12-19 18:10:57.464388
50,2017-12-18,K221,35391,36054,1.86,5,35734,35738,0.01,,2017-12-19 18:10:57.469167
68,2017-12-19,K169,34909,36193,3.61,51,35564,35574,0.03,,2017-12-29 16:21:42.602005
31,2017-12-18,H162,35359,36084,2.03,39,35743,35772,0.08,,2017-12-29 16:26:16.901776
8,2017-12-16,K238,35123,36175,2.95,6,35707,35718,0.03,,2017-12-29 16:26:17.096023
10,2017-12-16,K250,35357,36015,1.84,17,35702,35708,0.02,,2017-12-29 16:26:17.128897
7,2017-12-16,K237,35462,36079,1.72,11,35713,35720,0.02,,2017-12-29 16:26:17.160421
6,2017-12-17,H173,35489,36031,1.52,11,35726,35745,0.05,,2017-12-29 16:21:43.505101
2,2017-12-17,H175,34014,37070,8.6,50,35744,35769,0.07,,2017-12-29 16:21:43.518853
4,2017-12-17,H177,35270,36244,2.72,42,35752,35768,0.04,,2017-12-29 16:21:43.532435
3,2017-12-17,H176,35455,35988,1.49,25,35742,35760,0.05,,2017-12-29 16:21:43.546355
5,2017-12-17,H174,35408,36128,2.01,39,35726,35745,0.05,,2017-12-29 16:21:43.560012
20,2017-12-17,H128,35227,35929,1.97,119,35720,35745,0.07,,2017-12-29 16:21:43.638894
29,2017-12-18,H163,35331,36280,2.65,58,35698,35772,0.21,,2017-12-29 16:26:16.93791
9,2017-12-16,K239,35264,36246,2.75,21,35720,35727,0.02,,2017-12-29 16:26:17.062209
66,2017-12-19,K120,-1,-1,0,-1,-1,-1,0,,2017-12-29 16:21:42.633186
67,2017-12-19,K141,35396,36048,1.83,44,35671,35707,0.1,,2017-12-29 16:21:42.662023
46,2017-12-18,H148,35463,36032,1.59,19,35749,35768,0.05,,2017-12-29 16:21:43.006124
43,2017-12-18,H131,35371,35987,1.73,29,35699,35731,0.09,,2017-12-29 16:21:43.016961
41,2017-12-18,H132,34872,36520,4.62,49,35714,35734,0.06,,2017-12-29 16:21:43.028289
39,2017-12-18,H134,35510,36182,1.87,59,35732,35764,0.09,,2017-12-29 16:21:43.039985
42,2017-12-18,H133,34812,36623,5.07,76,35713,35734,0.06,,2017-12-29 16:21:43.04875
40,2017-12-18,H135,34676,36747,5.8,52,35714,35742,0.08,,2017-12-29 16:21:43.059777
37,2017-12-18,H138,35370,36054,1.92,85,35742,35773,0.09,,2017-12-29 16:21:43.068635
38,2017-12-18,H139,35202,36289,3.04,98,35743,35759,0.04,,2017-12-29 16:21:43.077029
45,2017-12-18,H149,34231,36759,7.12,34,35746,35779,0.09,,2017-12-29 16:21:43.110346
34,2017-05-18,K115,35232,35816,1.64,35,35540,35552,0.03,,2017-12-29 16:21:43.206446
18,2017-12-17,H129,35318,35938,1.74,67,35686,35743,0.16,,2017-12-29 16:21:43.676839
19,2017-12-17,H130,35186,36120,2.62,-1,35707,35741,0.1,,2017-12-29 16:21:43.710843
21,2017-12-17,H127,35318,36036,2.01,147,35722,35748,0.07,,2017-12-29 16:21:43.747117
17,2016-07-17,K167,34817,36433,4.54,48,35670,35694,0.07,,2017-12-29 16:21:43.785345
13,2016-07-17,K150,35090,36473,3.87,19,35709,35721,0.03,,2017-12-29 16:21:43.878537
23,2017-12-17,K210,35013,36193,3.31,43,35710,35721,0.03,,2017-12-29 16:21:43.978457
24,2017-12-17,K209,35046,36024,2.75,30,35517,35527,0.03,,2017-12-29 16:21:44.011912
16,2016-07-17,K149,35037,36406,3.83,35,35712,35734,0.06,,2017-12-29 16:21:44.041419
26,2017-12-18,K120,35039,35955,2.58,37,35527,35541,0.04,,2017-12-29 16:21:42.630637
44,2017-12-18,H150,35455,36071,1.72,32,35743,35769,0.07,,2017-12-29 16:21:42.994878
63,2017-10-19,K115,35240,35816,1.62,36,35542,35553,0.03,,2017-12-29 16:21:43.208935
32,2017-05-18,K121,-1,-1,-0,-1,-1,-1,-0,,2017-12-29 16:21:43.262618
61,2017-10-19,K121,35364,36000,1.78,24,35715,35736,0.06,,2017-12-29 16:21:43.265
33,2017-05-18,K168,35157,35970,2.29,48,35539,35567,0.08,,2017-12-29 16:21:43.303788
35,2017-05-18,K114,35191,36044,2.39,24,35715,35737,0.06,,2017-12-29 16:21:43.344503
64,2017-10-19,K114,35189,36045,2.4,26,35714,35736,0.06,,2017-12-29 16:21:43.346917
36,2017-05-18,K171,35225,36118,2.5,40,35713,35738,0.07,,2017-12-29 16:21:43.385576
65,2017-10-19,K171,35230,36120,2.49,53,35713,35738,0.07,,2017-12-29 16:21:43.388053
